Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Market Cap
500325,Reliance Industries Ltd,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A,10,INE002A01018,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,18383774967014
532540,Tata Consultancy Services Ltd.,TCS,TATA CONSULTANCY SERVICES LTD.,Active,A,1,INE467B01029,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,14923380858469
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A,1,INE040A01034,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,151913804164
532454,Bharti Airtel  Ltd.,BHARTIARTL,BHARTI AIRTEL LTD.,Active,A,5,INE397D01024,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,10226680000000
890157,Bharti Airtel  Ltd.,AIRTELPP,Bharti Airtel  Ltd,Active,A,5,IN9397D01014,,Equity,-,-,-,-,10226680000000
532174,ICICI Bank Ltd.,ICICIBANK,ICICI BANK LTD.,Active,A,2,INE090A01021,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,105832196563
500209,Infosys Ltd,INFY,INFOSYS LTD.,Active,A,5,INE009A01021,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,96366909189
500112,State Bank Of India,SBIN,STATE BANK OF INDIA,Active,A,1,INE062A01020,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank,7308676090658
500696,Hindustan Unilever Ltd.,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A,1,INE030A01027,Diversified FMCG,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,6384511929959
500875,ITC Ltd,ITC,ITC LTD.,Active,A,1,INE154A01025,Diversified FMCG,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,6088064421144
543526,LIFE INSURANCE CORPORATION OF INDIA,LICI,Life Insurance Corporation of India,Active,A,10,INE0J1Y01017,Life Insurance,Equity,Financial Services,Financial Services,Insurance,Life Insurance,5911655317223
532281,HCL Technologies Ltd,HCLTECH,HCL TECHNOLOGIES LTD.,Active,A,2,INE860A01027,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,5027176545429
500510,Larsen & Toubro Limited,LT,LARSEN & TOUBRO LTD.,Active,A,2,INE018A01030,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,4916499755000
524715,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,Active,A,1,INE044A01036,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,4581037377124
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A,2,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),4262880538475
532555,NTPC Limited,NTPC,NTPC LTD.,Active,A,10,INE733E01010,Power Generation,Equity,Utilities,Power,Power,Power Generation,4121618116750
532500,Maruti Suzuki India  Ltd.,MARUTI,MARUTI SUZUKI INDIA LTD.,Active,A,5,INE585B01010,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,3805103539438
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A,5,INE237A01028,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,3717768312286
532215,AXIS Bank Ltd.,AXISBANK,AXIS BANK LTD.,Active,A,2,INE238A01034,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,3696601070750
500520,Mahindra & Mahindra Ltd.,M&M,MAHINDRA & MAHINDRA LTD.,Active,A,5,INE101A01026,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,3552327040000
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,Active,A,5,INE213A01029,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,3564764983658
512599,Adani Enterprises Ltd.,ADANIENT,ADANI ENTERPRISES LTD.,Active,A,1,INE423A01024,Trading - Minerals,Equity,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,3462482234643
500570,Tata Motors Ltd.,TATAMOTORS,TATA MOTORS LTD.,Active,A,2,INE155A01022,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,3349509963971
532538,UltraTech Cement Ltd,ULTRACEMCO,ULTRATECH CEMENT LTD.,Active,A,10,INE481G01011,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,3190168000000
532898,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,Active,A,10,INE752E01010,Power - Transmission,Equity,Utilities,Power,Power,Power - Transmission,3085937437881
541154,Hindustan Aeronautics Limited,HAL,Hindustan Aeronautics Ltd,Active,A,5,INE066F01020,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3027412785504
532921,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,A,2,INE742F01042,Port & Port services,Equity,Services,Services,Transport Infrastructure,Port & Port services,3036291000000
533278,Coal India Limited,COALINDIA,COAL INDIA LTD.,Active,A,10,INE522F01014,Coal,Equity,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal,3035465507104
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A,1,INE280A01028,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",3000857543313
500820,Asian Paints Ltd.,ASIANPAINT,ASIAN PAINTS LTD.,Active,A,1,INE021A01026,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,2865166554000
532978,Bajaj Finserv Limited,BAJAJFINSV,BAJAJ FINSERV LTD.,Active,A,1,INE918I01026,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company,2900309000000
507685,Wipro  Ltd.,WIPRO,WIPRO LTD.,Active,A,2,INE075A01022,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,34641683306
532977,Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ AUTO LTD.,Active,A,10,INE917I01010,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,2809803578280
500550,Siemens Ltd.,SIEMENS,SIEMENS LTD.,Active,A,2,INE003A01024,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,2778806000000
500251,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Active,A,1,INE849A01020,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,2761929754676
541450,Adani Green Energy Limited,ADANIGREEN,Adani Green Energy Ltd,Active,A,10,INE364U01010,Power Generation,Equity,Utilities,Power,Power,Power Generation,2749960516511
540376,Avenue Supermarts Limited,DMART,Avenue Supermarts Ltd,Active,A,10,INE192R01011,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,2594278000000
